Method,Scenario,Silhouette,ARI,NMI,Num_Samples
BYOL,+Diffusion,0.098841935,0.3308902308757473,0.42177103814353134,439
BYOL,+LoRA,0.11966486,0.26375387610417933,0.32548754665692514,655
BYOL,Original,0.08869557,0.6370559481096599,0.6732417974365652,355
CNN-JEPA,+Diffusion,0.23875941,0.09002964071161827,0.11893013299281806,439
CNN-JEPA,+LoRA,0.24758118,0.08607718569837565,0.12867725465642613,655
CNN-JEPA,Original,0.25970185,0.16972046440833627,0.2325374859858037,355
DGAE,+Diffusion,0.07901933,0.21539854594671706,0.30191923288126765,439
DGAE,+LoRA,0.08460277,0.14934619327097007,0.2109430983068005,655
DGAE,Original,0.07903218,0.28752257571400597,0.43737637479811337,355
